hn,date_of_submission,species,submitted_sample,submitted_sample_category,vitek_id,bacteria_genus,report_issued_date,type,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_azithromycin,ans_cefalexin,ans_cefazolin,ans_cefovecin,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fluconazole,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_minocycline,ans_nitrofurantoin,ans_pradofloxacin,ans_rifampicin,ans_trimethoprim/sulfamethoxazole,ans_vancomycin,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_benzylpenicillin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefoxitin screen,S/I/R_cefpodoxime,S/I/R_chloramphenicol,S/I/R_clindamycin,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_erythromycin,S/I/R_florfenicol,S/I/R_fusidic acid,S/I/R_gentamicin,S/I/R_inducible clindamycin resistance,S/I/R_marbofloxacin,S/I/R_minocycline,S/I/R_mupirocin,S/I/R_nitrofurantoin,S/I/R_oxacillin,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_trimethoprim/sulfamethoxazole,S/I/R_vancomycin,id
เธฃเธเธช.เธ—เธญเธเธซเธฅเนเธญ เธเธฃเธฐเธฃเธฒเธก 9 (เนเธเธเธ”เธต),2019-07-23,dog,ขาหน้าซ้าย ช่วงแรกกินamoxy-clav แต่ไม่ดีขึ้น เปลี่ยนเป็น Enrofloxacin อาการของแผลดีขึ้นตามลาดับ โพรงแผลทาด้วย Chloram,extremely rare,GP,staphylococcus,2019-07-26,train,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,S,R,,R,+,,S,R,,R,R,,R,S,-,R,,R,S,R,,S,R,R,S,5744
6302094,2020-07-14,dog,pus,skin,GP,staphylococcus,2020-07-17,train,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,R,S,R,,R,-,,S,R,S,R,R,S,,R,-,R,S,,S,R,I,,,S,,6178
6108025,2018-07-26,dog,crust from skin,skin,GP,staphylococcus,2018-08-03,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,R,S,S,-,S,S,S,,R,S,,S,I,-,R,,S,S,R,,S,R,S,S,4887
5907911,2016-05-16,cat,urine,urinary tract,GP,staphylococcus,2016-05-20,train,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,S,R,S,S,-,S,S,R,,S,R,,S,S,+,S,,,S,R,,S,S,R,S,3719
5907152,2017-04-12,dog,pyoderma,skin,GP,staphylococcus,2017-04-21,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,R,-,I,R,R,,R,R,,S,R,-,R,,,S,R,,S,R,R,S,3996
6210390,2019-08-09,cat,urine,urinary tract,GP,enterococcus,2019-08-16,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,R,,,,,S,,,R,I,,,,,R,,,S,,,,R,,S,5634
6313399,2020-11-06,cat,ear exudate,ear,GP,staphylococcus,2020-11-11,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,,S,-,,S,S,S,R,S,S,,S,-,R,S,,S,R,I,,,S,,6323
6207737,2020-05-12,dog,bile,liver,GP,enterococcus,2020-05-21,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,R,,,,,S,,R,R,I,S,,,,R,,,R,,,,,,,5997
6103201,2018-02-27,cat,urine,urinary tract,GP,staphylococcus,2018-03-09,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,R,R,R,R,+,R,S,S,,R,R,,S,R,-,R,,S,S,,,S,R,R,S,4625
เธฃเธเธช.เธกเธตเธชเธธเธ (เธฅเธฒเน€เธ•เน),2019-01-14,dog,joint fluid,orthopedic,GP,staphylococcus,2019-01-18,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,S,R,S,S,-,I,S,R,,R,R,,S,R,-,R,,R,S,R,,S,R,R,S,5754
