hn,date_of_submission,species,submitted_sample,submitted_sample_category,vitek_id,bacteria_genus,report_issued_date,type,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_azithromycin,ans_cefalexin,ans_cefazolin,ans_cefovecin,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fluconazole,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_minocycline,ans_nitrofurantoin,ans_pradofloxacin,ans_rifampicin,ans_trimethoprim/sulfamethoxazole,ans_vancomycin,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_benzylpenicillin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefoxitin screen,S/I/R_cefpodoxime,S/I/R_chloramphenicol,S/I/R_clindamycin,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_erythromycin,S/I/R_florfenicol,S/I/R_fusidic acid,S/I/R_gentamicin,S/I/R_inducible clindamycin resistance,S/I/R_marbofloxacin,S/I/R_minocycline,S/I/R_mupirocin,S/I/R_nitrofurantoin,S/I/R_oxacillin,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_trimethoprim/sulfamethoxazole,S/I/R_vancomycin,id
6001555,2017-11-17,dog,nasal mucosa,nasal cavity,GP,staphylococcus,2017-11-21,train,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,S,R,S,R,-,R,R,R,,R,R,,S,S,-,R,,S,S,R,,S,R,R,S,4126
6211545,2019-09-16,cat,urine,urinary tract,GP,enterococcus,2019-09-19,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,R,,,,,S,,,R,I,,,,,R,,,S,,,,R,,S,5649
5504400,2019-06-13,dog,abscess,abscess,GP,staphylococcus,2019-06-19,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,R,,S,-,,S,S,,R,S,,S,S,-,R,,S,S,R,,S,R,S,S,5139
6304929,2020-10-05,dog,surgical site,surgical site,GP,staphylococcus,2020-10-12,train,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,S,R,R,R,R,+,R,S,S,R,R,S,S,,I,-,R,R,,S,R,I,,,R,,6194
6104158,2018-03-17,dog,exudate,exudate,GP,staphylococcus,2018-03-23,train,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,S,S,S,,S,S,S,S,4637
6312999,2021-04-28,cat,pleural fluid,pleural effusion,GP,actinomyces,2021-05-05,train,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,6310
5907267,2017-03-27,dog,pyogranulomatous infection,abscess,GP,staphylococcus,2017-03-31,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,R,S,S,-,I,S,S,,I,S,,S,S,-,S,,,S,R,,S,S,S,S,3998
5812034,2016-11-12,cat,urine,urinary tract,GP,granulicatella,2016-11-23,train,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,-,,,,,,,,,,,,,,,,,,,,,3518
6200170,2019-01-06,dog,urine,urinary tract,GP,enterococcus,2019-01-16,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,S,,,,,R,,,I,R,,,,,I,,,S,,,,R,,S,5390
5913324,2017-08-10,dog,pus,skin,GP,staphylococcus,2017-08-16,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,R,S,S,-,S,S,R,,S,R,,S,S,+,S,,R,S,S,,S,R,S,S,4036
6008325,2017-06-01,dog,thoracic,xxrare,GP,dermacoccus,2017-06-14,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,4240
6311711,2020-09-28,dog,wound,wound,GP,micrococcus,2020-10-06,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,6287
6011168,2018-04-18,dog,bed sore,skin,GP,enterococcus,2018-04-21,train,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,S,,,,,R,,,I,R,,,,,S,,,S,,,,R,,S,4667
